app_config_id,deadline,delta_t,e_fail,e_fail_multiplier,lambda,num_nodes,repetition_id,restart_overhead,dynamic__off__off,dynamic__independent__off,random__off__off,random__independent__off,static_foresighted_expected_error__off__off,static_foresighted_expected_error__independent__off,static_foresighted_error_level__off__off,static_foresighted_error_level__independent__off,static_foresighted_probability_success__off__off,static_foresighted_probability_success__independent__off,static_foresighted_success_error_ratio__off__off,static_foresighted_success_error_ratio__independent__off,static_nearsighted_expected_error__off__off,static_nearsighted_expected_error__independent__off,static_nearsighted_error_level__off__off,static_nearsighted_error_level__independent__off,static_nearsighted_probability_success__off__off,static_nearsighted_probability_success__independent__off,static_nearsighted_success_error_ratio__off__off,static_nearsighted_success_error_ratio__independent__off,num_tasks,num_options_per_task,p_fastest_single,p_slowest_single,max_error,min_error
1,10000.0,5.0,313.0214,2.0,0.001,1,0,0.0,10.7268,10.7268,126.954,20.0737,15.4002,15.4002,10.7268,10.7268,59.3803,59.3803,10.7268,10.7268,15.4002,15.4002,10.7268,10.7268,156.511,156.511,10.7268,10.7268,3,"[2, 3, 4]",0.5229748790702403,0.0618936032153112,156.51072368694858,10.726827885211225
1,10000.0,5.0,782.5536,5.0,0.001,1,0,0.0,10.7268,10.7268,126.954,28.2731,20.0737,20.0737,10.7268,10.7268,59.3803,59.3803,10.7268,10.7268,15.4002,15.4002,10.7268,10.7268,156.511,156.511,10.7268,10.7268,3,"[2, 3, 4]",0.5229748790702403,0.0618936032153112,156.51072368694858,10.726827885211225
1,10000.0,5.0,313.0214,2.0,0.001,1,1,0.0,10.7268,10.7268,110.869,110.869,15.4002,15.4002,10.7268,10.7268,59.3803,59.3803,10.7268,10.7268,15.4002,15.4002,10.7268,10.7268,156.511,156.511,10.7268,10.7268,3,"[2, 3, 4]",0.5229748790702403,0.0618936032153112,156.51072368694858,10.726827885211225
1,10000.0,5.0,782.5536,5.0,0.001,1,1,0.0,10.7268,10.7268,52.9089,40.591,20.0737,20.0737,10.7268,10.7268,59.3803,59.3803,10.7268,10.7268,15.4002,15.4002,10.7268,10.7268,156.511,156.511,10.7268,10.7268,3,"[2, 3, 4]",0.5229748790702403,0.0618936032153112,156.51072368694858,10.726827885211225
1,10000.0,5.0,313.0214,2.0,0.001,1,2,0.0,10.7268,10.7268,65.2268,42.0637,15.4002,15.4002,10.7268,10.7268,59.3803,59.3803,10.7268,10.7268,15.4002,15.4002,10.7268,10.7268,156.511,156.511,10.7268,10.7268,3,"[2, 3, 4]",0.5229748790702403,0.0618936032153112,156.51072368694858,10.726827885211225
1,10000.0,5.0,782.5536,5.0,0.001,1,2,0.0,10.7268,10.7268,28.2731,15.4002,20.0737,20.0737,10.7268,10.7268,59.3803,59.3803,10.7268,10.7268,15.4002,15.4002,10.7268,10.7268,156.511,156.511,10.7268,10.7268,3,"[2, 3, 4]",0.5229748790702403,0.0618936032153112,156.51072368694858,10.726827885211225
1,10000.0,5.0,313.0214,2.0,0.001,1,3,0.0,10.7268,10.7268,313.021,15.4002,15.4002,15.4002,10.7268,10.7268,59.3803,59.3803,10.7268,10.7268,15.4002,15.4002,10.7268,10.7268,156.511,156.511,10.7268,10.7268,3,"[2, 3, 4]",0.5229748790702403,0.0618936032153112,156.51072368694858,10.726827885211225
1,10000.0,5.0,782.5536,5.0,0.001,1,3,0.0,10.7268,10.7268,65.2268,156.511,20.0737,20.0737,10.7268,10.7268,59.3803,59.3803,10.7268,10.7268,15.4002,20.0737,10.7268,10.7268,156.511,156.511,10.7268,10.7268,3,"[2, 3, 4]",0.5229748790702403,0.0618936032153112,156.51072368694858,10.726827885211225
1,10000.0,5.0,313.0214,2.0,0.001,1,4,0.0,10.7268,10.7268,48.057,15.4002,15.4002,15.4002,10.7268,10.7268,59.3803,59.3803,10.7268,10.7268,15.4002,15.4002,10.7268,10.7268,156.511,156.511,10.7268,10.7268,3,"[2, 3, 4]",0.5229748790702403,0.0618936032153112,156.51072368694858,10.726827885211225
1,10000.0,5.0,782.5536,5.0,0.001,1,4,0.0,10.7268,10.7268,34.1201,10.7268,20.0737,20.0737,10.7268,10.7268,59.3803,59.3803,10.7268,10.7268,15.4002,15.4002,10.7268,10.7268,156.511,156.511,10.7268,10.7268,3,"[2, 3, 4]",0.5229748790702403,0.0618936032153112,156.51072368694858,10.726827885211225
1,10000.0,5.0,313.0214,2.0,0.001,1,5,0.0,10.7268,10.7268,67.8409,25.7389,15.4002,15.4002,10.7268,10.7268,59.3803,59.3803,10.7268,10.7268,15.4002,20.0737,10.7268,10.7268,156.511,156.511,10.7268,10.7268,3,"[2, 3, 4]",0.5229748790702403,0.0618936032153112,156.51072368694858,10.726827885211225
